keyword,rmse,mae,r2,mape,smape
куртка,9.677713077240265,7.102806112153934,0.7006204011363082,11.71158392206279,11.297750292816767
чоловіча куртка,21.050756731160796,13.856271056489572,0.5918458943553015,35483080918.36031,92.26085746799387
зимова куртка,21.848323583341216,14.984458263382713,0.5644849580342033,57871235547.83578,105.69773916907835
жіноча куртка,22.753374558113542,16.761354559879464,0.5234463856077101,48967884287.88356,75.48050171238401
